timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1528377934366,20,Stock creation SOAP Request,200,,Number of Users 1-145,text,true,,2809,474,1,1,20,0,1
1528377934387,24,Stock creation SOAP Request,200,,Number of Users 1-145,text,true,,2809,474,2,2,24,0,0
1528377934406,21,Stock creation SOAP Request,200,,Number of Users 1-146,text,true,,2809,474,1,1,21,0,1
1528377934428,14,Stock creation SOAP Request,200,,Number of Users 1-146,text,true,,2809,474,1,1,13,0,0
1528377934474,14,Stock creation SOAP Request,200,,Number of Users 1-147,text,true,,2809,474,2,2,14,0,0
1528377934484,25,Stock creation SOAP Request,200,,Number of Users 1-148,text,true,,2809,474,2,2,25,0,1
1528377934489,25,Stock creation SOAP Request,200,,Number of Users 1-147,text,true,,2809,474,2,2,25,0,0
1528377934509,14,Stock creation SOAP Request,200,,Number of Users 1-148,text,true,,2809,474,1,1,14,0,0
1528377934526,15,Stock creation SOAP Request,200,,Number of Users 1-149,text,true,,2809,474,1,1,15,0,1
1528377934542,13,Stock creation SOAP Request,200,,Number of Users 1-149,text,true,,2809,474,1,1,13,0,0
1528377934565,15,Stock creation SOAP Request,200,,Number of Users 1-150,text,true,,2809,474,1,1,15,0,1
1528377934581,13,Stock creation SOAP Request,200,,Number of Users 1-150,text,true,,2809,474,1,1,13,0,0
1528377934633,14,Stock creation SOAP Request,200,,Number of Users 1-151,text,true,,2809,474,1,1,14,0,1
1528377934648,15,Stock creation SOAP Request,200,,Number of Users 1-151,text,true,,2809,474,2,2,15,0,0
1528377934648,17,Stock creation SOAP Request,200,,Number of Users 1-152,text,true,,2809,474,1,1,17,0,0
1528377934666,16,Stock creation SOAP Request,200,,Number of Users 1-152,text,true,,2809,474,1,1,16,0,0
1528377934687,14,Stock creation SOAP Request,200,,Number of Users 1-153,text,true,,2809,474,1,1,14,0,1
1528377934702,14,Stock creation SOAP Request,200,,Number of Users 1-153,text,true,,2809,474,1,1,14,0,0
1528377934728,14,Stock creation SOAP Request,200,,Number of Users 1-154,text,true,,2809,474,1,1,14,0,1
1528377934743,12,Stock creation SOAP Request,200,,Number of Users 1-154,text,true,,2809,474,1,1,12,0,0
1528377934794,41,Stock creation SOAP Request,200,,Number of Users 1-155,text,true,,2809,474,2,2,40,0,2
1528377934806,34,Stock creation SOAP Request,200,,Number of Users 1-156,text,true,,2809,474,2,2,34,0,2
1528377934836,19,Stock creation SOAP Request,200,,Number of Users 1-155,text,true,,2809,474,3,3,19,0,0
